iter	Passed	Remaining
915	4156	381
916	4161	376
917	4165	372
918	4169	367
919	4172	362
920	4176	358
921	4180	353
922	4184	349
923	4188	344
924	4193	340
925	4197	335
926	4201	330
927	4205	326
928	4209	321
929	4212	317
930	4216	312
931	4220	307
932	4226	303
933	4230	298
934	4234	294
935	4242	290
936	4247	285
937	4254	281
938	4258	276
939	4262	272
940	4265	267
941	4269	262
942	4273	258
943	4277	253
944	4281	249
945	4285	244
946	4289	240
947	4293	235
948	4297	230
949	4301	226
950	4305	221
951	4308	217
952	4312	212
953	4316	208
954	4320	203
955	4324	199
956	4330	194
957	4334	190
958	4338	185
959	4342	180
960	4346	176
961	4350	171
962	4355	167
963	4359	162
964	4363	158
965	4366	153
966	4371	149
967	4375	144
968	4379	140
969	4384	135
970	4387	131
971	4391	126
972	4395	121
973	4400	117
974	4403	112
975	4408	108
976	4411	103
977	4416	99
978	4419	94
979	4423	90
980	4427	85
981	4431	81
982	4435	76
983	4439	72
984	4443	67
985	4447	63
986	4450	58
987	4454	54
988	4458	49
989	4462	45
990	4466	40
991	4470	36
992	4474	31
993	4480	27
994	4484	22
995	4486	18
996	4490	13
997	4494	9
998	4497	4
999	4502	0
