,DTT_Fe_Conc_Grade
1455,63.54
1456,63.54
1457,63.54
1458,63.54
1459,70.23
1460,70.23
1461,63.23
1462,63.23
1463,63.23
1464,62.32
1465,62.32
1466,65.36
1467,65.36
1468,65.36
1469,54.87
1470,54.87
1471,54.87
1472,62.93
1473,62.93
1474,62.93
1475,62.93
1476,53.51
1477,53.51
1478,56.85
1479,56.85
1480,61.56
1481,61.56
1482,51.99
1483,51.99
1484,59.97
1485,59.97
1486,59.97
1487,59.97
1488,59.97
1489,59.97
1490,63.99
1491,35.64
1492,25.84
1493,25.84
1494,62.78
1495,62.78
1496,62.78
1497,62.78
1498,64.75
1499,64.75
1500,64.75
1501,64.75
1502,64.45
1503,64.45
1504,64.45
1505,64.45
1506,64.45
1507,64.45
1509,58.98
1510,58.98
1511,58.98
1512,63.39
1513,63.39
1514,63.39
1515,63.39
1516,63.39
1517,65.67
1518,65.67
1519,66.27
1520,66.27
1521,66.27
1522,56.85
1523,56.85
1524,56.85
1525,60.8
1526,60.8
1527,60.8
1528,60.8
1529,60.8
1530,60.8
1531,62.47
1532,62.47
1533,62.47
1534,62.02
1535,65.21
1536,65.21
1537,65.21
1538,60.19
1539,60.19
1540,61.4
1541,61.4
1542,63.08
1543,63.08
1544,67.8
1545,67.8
1546,69.48
1547,69.48
1548,69.48
1549,67.34
1550,67.34
1551,65.51
1552,65.51
1553,65.51
1554,65.51
1555,65.97
1556,65.97
1557,65.97
1558,65.97
1559,65.97
1560,65.97
1561,61.41
1562,55.48
1563,55.48
1564,55.48
1565,51.99
1566,51.99
1567,56.7
1568,56.7
1569,56.7
1570,51.53
1571,51.53
1572,51.53
1573,51.53
1574,59.43
1575,59.43
1576,59.43
1577,63.54
1578,63.54
1579,65.36
1580,65.36
1581,65.36
1582,59.43
1583,65.57
1584,65.57
1585,64.3
1586,64.3
1587,56.55
1588,56.55
1589,62.24
1590,62.24
1591,62.24
1592,62.24
1593,66.43
1594,66.43
1595,66.43
1596,63.08
1597,63.08
1598,54.42
1599,54.42
1600,54.42
1601,28.56
1602,28.56
1603,40.83
1604,40.83
1605,61.49
1606,61.49
1607,61.49
1608,61.49
1609,61.71
1610,61.71
1611,61.71
1612,61.71
1613,61.71
1614,61.71
1615,61.4
1616,61.4
1617,62.47
1618,62.47
1619,62.47
1620,62.47
1621,62.47
1622,59.88
1623,59.88
1624,59.88
1625,63.69
1626,63.69
1627,63.69
1628,63.69
1629,62.24
1630,62.24
1631,62.24
1632,62.24
1633,58.81
1634,58.81
1635,58.81
1636,59.5
1637,59.5
1638,57.44
1639,57.44
1640,57.44
1641,57.44
1642,57.44
1643,41.9
1644,41.9
1645,41.9
1646,44.84
1647,44.84
1648,41.95
1649,41.95
1650,54.92
1651,54.92
1652,54.92
1653,64.68
1654,64.68
1655,53.96
1656,53.96
1657,59.13
1658,59.13
1659,59.13
1660,55.48
1661,55.48
1662,55.48
1663,55.48
1664,64.6
1665,64.6
1666,64.6
1667,63.69
1668,63.69
1669,63.69
1670,60.8
1671,60.8
1672,60.8
1673,60.8
1674,64.91
1675,64.91
1676,62.33
1677,62.33
1678,66.5
1679,66.5
1680,66.5
1681,65.89
1682,65.89
1683,64.75
1684,64.75
1685,64.75
1686,64.75
1687,65.36
1688,65.36
1689,65.36
1692,30.55
1693,30.55
1694,30.55
1695,66.58
1696,66.58
1697,52.29
1698,52.29
1699,46.37
1700,46.37
1701,46.37
1702,46.37
1703,59.74
1704,59.74
1705,59.74
1706,59.74
1707,63.46
1708,63.46
1709,22.8
1710,22.8
1711,22.88
1712,22.88
1713,22.88
1714,18.31
1715,58.67
1716,58.67
1717,59.51
1718,59.51
1719,59.51
1720,59.51
1721,66.65
1722,66.65
1723,67.09
1724,45.76
1725,45.76
1726,65.88
1727,62.48
1728,62.48
1729,62.48
1730,62.48
1731,65.73
1732,67.09
1733,67.09
1734,67.09
1735,68.23
1736,68.23
1737,40.7
1738,40.7
1739,59.68
1740,54.99
1741,54.99
1742,62.18
1743,62.18
1744,32.3
1745,62.78
1746,62.78
1747,62.78
1748,62.78
1749,62.78
1750,67.03
1751,67.03
1752,67.03
1753,62.33
1754,63.99
1755,63.99
1756,63.99
1757,63.99
1758,62.93
1759,62.93
1760,62.93
1761,63.01
1762,63.01
1763,63.01
1764,59.6
1765,59.6
1766,59.6
1767,59.6
1768,65.81
1769,65.81
1770,65.81
1771,65.81
1772,67.32
1773,67.32
1774,67.32
1775,65.5
1776,65.5
1777,65.5
1778,65.5
1779,62.33
1780,62.33
1781,62.33
1782,62.33
1783,63.46
1784,63.46
1785,63.39
1786,63.39
1787,60.51
1788,60.51
1789,60.51
1790,53.4
1791,53.4
1792,53.4
1793,53.4
1794,59.45
1795,59.45
1796,52.65
1797,52.65
1798,64.45
1799,64.45
1800,64.45
1801,60.06
1802,60.06
1803,60.06
1804,60.06
1805,47.2
1806,47.2
1807,47.2
1808,15.96
1809,15.96
1810,59.0
1811,59.0
1812,59.0
1813,59.0
1814,59.0
1815,59.0
1816,56.6
1817,56.6
1818,56.6
1819,60.07
1820,60.07
1821,64.0
1822,64.0
1823,59.6
1824,59.6
1825,59.6
1826,59.6
1827,54.67
1828,54.67
1832,43.1
1833,43.1
1834,43.1
1835,63.46
1836,63.46
1837,63.46
1838,63.46
1839,59.38246377
1840,67.84369565
1841,67.84369565
1842,66.15144928
1843,62.00183133
1844,62.00183133
1845,60.85080723
1846,60.85080723
1847,60.16019277
1848,55.40262651
1849,59.31610843
1850,23.63436145
1851,67.37327711
1852,67.37327711
1853,68.14062651
1854,68.14062651
1855,68.06389157
1856,68.06389157
1857,64.91775904
1858,68.21736145
1859,53.94466265
1860,60.08345783
1861,69.37
1862,69.44512048
1863,67.52674699
1864,69.90553012
1865,67.68021687
1866,62.46224096
1867,52.71690361
1868,52.71690361
1869,52.71690361
1870,47.42219277
1871,69.52185542
1872,65.91531325
1873,68.37083133
1874,68.37083133
1875,66.52919277
1876,62.9226506
1877,62.9226506
1878,64.15
1879,64.15
1880,60.77407229
1881,63.22959036
1882,63.15285542
1883,63.15285542
1884,68.21736145
1885,55.40262651
1886,55.40262651
1887,69.06144578
1888,69.06144578
1889,62.9226506
1890,62.9226506
1891,63.07612048
1892,63.07612048
1893,30.23356627
1894,34.37725301
1895,30.23356627
1896,39.28828916
