,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,DTT_Mass_Recovery,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
745,400013.2755,7073395.694,865.3117479,53.77,in,35.6,26838,4.83,5.16,24.8,0.9,2.12,0.873316413,1000,0.16,16.55,0.65,0.2
746,400015.1183,7073396.022,860.8537812,50.42,in,33,24098,5.38,3.63,22.4,0.5,2.75,0.873316413,1000,0.12,19.8,0.67,0
747,400015.4041,7073396.073,860.1622268,50.42,in,33,24098,5.38,3.63,22.4,0.5,2.75,0.873316413,1000,0.12,19.8,0.67,0.1
748,400015.7337,7073396.131,859.3646208,50.42,in,33,24098,5.38,3.63,22.4,0.5,2.75,0.873316413,1000,0.12,19.8,0.67,0.2
749,400016.2101,7073396.215,858.2119862,53.62,in,40.7,34818,3.96,7.04,23.9,0.2,2.61,0.873316413,1100,0.02,16.35,0.56,0.2
750,400018.5007,7073396.613,852.6807903,51.64,in,21.9,16180,4.43,9.85,16.35,0.2,2.43,0.873316413,1500,0.06,16.75,1.03,0.2
751,400020.035,7073396.873,848.9958868,53.01,in,38.6,29995,5.06,3,26.1,0.4,2.54,0.873316413,1100,0.1,18.95,0.77,0.1
752,400021.4738,7073397.113,845.5520474,52.48,in,34.7,26275,4.91,3.24,24.9,0.4,2.96,0.873316413,1200,0.01,19.25,0.78,0.1
753,400021.8588,7073397.177,844.6313344,52.48,in,34.7,26275,4.91,3.24,24.9,0.4,2.96,0.873316413,1200,0.01,19.25,0.78,0.1
754,400023.8469,7073397.505,839.8810388,42.71,in,23.4,13373,6.89,2.73,16.45,0.5,3.04,0.873316413,1500,0.06,21.9,1.09,0.2
755,400024.2324,7073397.568,838.9605521,42.71,in,23.4,13373,6.89,2.73,16.45,0.5,3.04,0.873316413,1500,0.06,21.9,1.09,0.3
756,400025.2394,7073397.733,836.558244,55.07,in,34.5,25453,4.7,3.41,25.1,0.7,3.26,0.873316413,1600,0.11,18.3,0.76,0.3
757,400025.5096,7073397.777,835.9139855,55.07,in,34.5,25453,4.7,3.41,25.1,0.7,3.26,0.873316413,1600,0.11,18.3,0.76,0.2
1049,400163.1189,7073162.582,1000.903959,51.02,out,7.6,3832,7.47,3.23,13.05,2,3.38,0.873316413,800,0.18,22.8,0.81,1
1050,400162.8629,7073161.949,990.9272972,48.16,out,16.68,11568,6.43,4.28,13.45,0.7,2.47,0.873316413,1900,1.26,23.2,1.77,0.2
1066,400098.861,7073405.587,889.3261236,46.67,in,29.8,20538,5.3,3.66,20,0.8,2.87,0.873316413,1400,0.2,20.3,1.15,0.5
1067,400098.6428,7073405.582,885.3320807,30.34,in,37.8,19835,6.15,3.08,17.7,0.8,1.83,0.873316413,1900,0.12,21.1,1.62,0.5
1134,400148.3739,7073314.913,888.4633369,64.38,in,50.19,41523,3.94,2.42,34.9,0.2,1.38,0.873316413,1600,0.66,15.5,0.79,0.5
1135,399939.623,7073312.497,787.3874164,64.02,in,40.24,35768,4.27,2.35,29.1,1.5,1.35,0.873316413,1100,1.54,17.3,0.72,0.3
1136,399939.8576,7073311.383,767.4199355,63.21,in,43.21,34303,3.22,5.29,32.5,0.6,1.95,0.873316413,1200,0.67,13.75,0.66,2
1137,399939.9644,7073310.388,747.4450171,63.61,in,39.9,39645,4.56,1.67,31.4,1,2.19,0.873316413,700,1.58,16.95,0.52,5
1284,400217.4963,7073066.099,995.0219217,62.02,out,7.4,5384,6.66,3.78,12.45,2.4,3.95,0.873316413,900,0.61,21.1,0.87,3
1285,400218.0971,7073066.363,994.2673771,62.02,out,7.4,5384,6.66,3.78,12.45,2.4,3.95,0.873316413,900,0.61,21.1,0.87,1
1850,399626.8283,7073212.569,398.1854775,23.63436145,out,3.8,1226.394084,5.64,4.66,16.65,0.65,0.76,2.66,1640,0.45,16.3,1.375,0.8
1855,399752.4651,7073682.188,506.0804668,68.06389157,in,32.6,34710.57408,5.34,1.78,27,2.27,3.17,0.51,640,1.73,14.2,0.377,2
1856,399752.4716,7073682.165,505.0807434,68.06389157,in,32.6,34710.57408,5.34,1.78,27,2.27,3.17,0.51,640,1.73,14.2,0.377,3
1857,399752.6313,7073681.629,481.8374852,64.91775904,in,21.4,19569.05742,5.17,2.6,21.6,2.46,3.6,0.37,520,1.48,18,0.428,3
1858,399752.8193,7073681.023,457.8458757,68.21736145,in,52.9,67186.57724,2.96,0.68,44.8,1.14,2.01,0.07,590,1.58,10,0.112,6
1859,399753.1017,7073680.383,433.856095,53.94466265,in,21.2,18237.81511,4.83,2.65,21.7,0.48,2.93,1.09,1010,1.78,19.2,0.301,3
1860,399753.4307,7073679.687,409.8685067,60.08345783,in,21.3,20183.6717,5.43,2.21,23,0.55,3.04,1.58,810,2.22,18.8,0.198,6
1893,400128.3065,7072853.078,827.5548828,30.23356627,out,10.6,6168.506887,5.35,1.7,21.2,1.42,1.92,1.4,1740,0.95,21.4,1.225,1
