,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
1823,399965.7314,7072780.24,903.5248947,59.6,out,VLCL_BOTTOM,12.1,18.31,7478.782355,5.42,2.82,20.6,1.59,2.25,1.5,470,2.28,17.1,0.26,0.8
1824,399965.7276,7072780.249,902.8749696,59.6,out,VLCL_BOTTOM,12.1,18.31,7478.782355,5.42,2.82,20.6,1.59,2.25,1.5,470,2.28,17.1,0.26,0.5
1825,399965.7259,7072780.253,902.5750031,59.6,out,VLCL_BOTTOM,12.1,18.31,7478.782355,5.42,2.82,20.6,1.59,2.25,1.5,470,2.28,17.1,0.26,3
1826,399965.7239,7072780.258,902.2250415,59.6,out,VLCL_BOTTOM,12.1,18.31,7478.782355,5.42,2.82,20.6,1.59,2.25,1.5,470,2.28,17.1,0.26,6
1827,399965.6867,7072780.367,893.2257805,54.67,out,VLCL_BOTTOM,4.9,35.7,2260.433808,2.2,1.69,40.6,0.62,1.15,0.14,560,3.17,13,0.16,8
1828,399965.683,7072780.377,892.2258427,54.67,out,VLCL_BOTTOM,4.9,35.7,2260.433808,2.2,1.69,40.6,0.62,1.15,0.14,560,3.17,13,0.16,4
1832,399507.4828,7072560.427,1006.188207,43.1,out,VLCL_BOTTOM,3,5.89,2156.806779,8.01,4.22,5.8,1.12,1.55,4.25,660,0.13,27,0.4,0
1833,399507.4809,7072560.423,1005.603231,43.1,out,VLCL_BOTTOM,3,5.89,2156.806779,8.01,4.22,5.8,1.12,1.55,4.25,660,0.13,27,0.4,0
1834,399507.4783,7072560.415,1004.788268,43.1,out,VLCL_BOTTOM,3,5.89,2156.806779,8.01,4.22,5.8,1.12,1.55,4.25,660,0.13,27,0.4,0.5
1835,399507.4561,7072560.343,998.1886996,63.46,out,VLCL_BOTTOM,12.7,39.09,9918.20907,2.39,3.09,42.3,0.03,0.43,1.41,370,3.57,7.4,0.12,2
1836,399507.454,7072560.338,997.7037303,63.46,out,VLCL_BOTTOM,12.7,39.09,9918.20907,2.39,3.09,42.3,0.03,0.43,1.41,370,3.57,7.4,0.12,2
1837,399507.4509,7072560.331,997.0037738,63.46,out,VLCL_BOTTOM,12.7,39.09,9918.20907,2.39,3.09,42.3,0.03,0.43,1.41,370,3.57,7.4,0.12,1
1838,399507.4484,7072560.326,996.4888052,63.46,out,VLCL_BOTTOM,12.7,39.09,9918.20907,2.39,3.09,42.3,0.03,0.43,1.41,370,3.57,7.4,0.12,3
1839,399623.4398,7073238.162,612.636343,59.38246377,in,ANLT,23.9,44.82,17268.04092,3.95,3.66,19.7,0.05,1.2,1.44,1270,0.21,21.3,0.112,0.1
1840,399623.7984,7073235.248,589.2249438,67.84369565,in,VLCL_BOTTOM,58.6,46.04,78961.9328,2.02,1.74,51.3,0.36,1.82,0.06,590,2.55,6.6,0.116,5
1841,399623.8124,7073235.13,588.2319419,67.84369565,in,VLCL_BOTTOM,58.6,46.04,78961.9328,2.02,1.74,51.3,0.36,1.82,0.06,590,2.55,6.6,0.116,6
1842,399624.1312,7073232.358,564.9938847,66.15144928,in,VLCL_BOTTOM,31.9,28.85,27347.86823,2.6,2.25,39.3,0.54,1.73,0.61,1080,1.76,10.7,0.173,4
1843,399624.4897,7073229.613,542.1107584,62.00183133,in,VLCL_BOTTOM,30.4,27.01,30162.42075,3.16,2.25,28.1,0.05,1.73,0.59,650,0.62,18,0.126,4
1844,399624.5063,7073229.495,541.1179394,62.00183133,in,VLCL_BOTTOM,30.4,27.01,30162.42075,3.16,2.25,28.1,0.05,1.73,0.59,650,0.62,18,0.126,5
1845,399624.8665,7073226.686,517.6129491,60.85080723,in,VLCL_BOTTOM,23.5,23.48,27736.55808,5.81,3.9,19.35,1.4,3.11,0.87,470,4.14,15.1,0.302,3
1846,399624.8807,7073226.567,516.6201189,60.85080723,in,VLCL_BOTTOM,23.5,23.48,27736.55808,5.81,3.9,19.35,1.4,3.11,0.87,470,4.14,15.1,0.302,2
