,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
749,0.000854552,0.253087299,-1.418718475,0.422110553,0.261603718,-0.480304038,0.241466498,0,0.188396812,1.434065934,0.123904881,-0.299908093,0.101661363,-0.101265823,0.019607843,1.488584475,0,-0.463414634,0.332777314,-0.722166499,-0.608934357,0.168035251,0.310344828,0,0.158980391,0.666666667,0.666666667,0.666666667,0,0,-0.272727273,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
750,9.57E-05,0.253018961,-1.43591262,1.744723618,2.268697261,-1.187365474,0.241466498,-0.848069106,0.188396812,-0.532967033,0.123904881,0.179944856,1.648164874,-0.987341772,-0.241830065,-0.246575342,0,-0.219512195,0.332777314,-0.629889669,-1.613585356,0.168035251,-0.172413793,0,0.158980391,0.666666667,0.666666667,0.333333333,0,0,0.909090909,-0.2,0,0,1.511627907,0.0025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
751,4.86E-05,0.25301469,-1.436978372,1.744723618,2.268697261,-1.187365474,0.241466498,-0.848069106,0.188396812,-0.532967033,0.123904881,0.179944856,1.648164874,-0.987341772,-0.241830065,-0.246575342,0,-0.219512195,0.332777314,-0.629889669,-1.613585356,0.168035251,-0.172413793,0,0.158980391,0,0.666666667,0.666666667,0.02,0,-0.490909091,0.1,0,0,-0.279069767,0.0025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
752,-4.86E-05,0.253004724,-1.439180928,1.744723618,2.268697261,-1.187365474,0.241466498,-0.848069106,0.188396812,-0.532967033,0.123904881,0.179944856,1.648164874,-0.987341772,-0.241830065,-0.246575342,0,-0.219512195,0.332777314,-0.629889669,-1.613585356,0.168035251,-0.172413793,0,0.158980391,0,0.666666667,0.666666667,0.02,0,-0.490909091,0.1,0,0,-0.279069767,0.0025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
753,-0.000362173,0.252977673,-1.446285947,1.744723618,2.268697261,-1.187365474,0.241466498,-0.848069106,0.188396812,-0.532967033,0.123904881,0.179944856,1.648164874,-0.987341772,-0.241830065,-0.246575342,0,-0.219512195,0.332777314,-0.629889669,-1.613585356,0.168035251,-0.172413793,0,0.158980391,1,1,0.666666667,0.2,0,0.818181818,-0.2,0,0,1.395348837,0.0375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
754,-0.000760424,0.252940657,-1.45530932,0.621105528,0.677161817,-0.294845301,0.241466498,-0.870796378,0.188396812,0.340659341,0.123904881,0.001934891,0.4245577,0.151898734,0.352941176,-0.155251142,0,0.268292683,0.332777314,-0.517552658,-0.303723927,0.168035251,0.379310345,0,0.158980391,1,1,0.666666667,0.2,0,0.818181818,-0.2,0,0,1.395348837,0.0375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
755,-0.00107403,0.252913607,-1.462414339,0.621105528,0.677161817,-0.294845301,0.241466498,-0.870796378,0.188396812,0.340659341,0.123904881,0.001934891,0.4245577,0.151898734,0.352941176,-0.155251142,0,0.268292683,0.332777314,-0.517552658,-0.303723927,0.168035251,0.379310345,0,0.158980391,0.333333333,0.333333333,1,0,0,-0.418181818,0.5,0,0,-0.348837209,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
756,-0.001889498,0.252839574,-1.480887386,-0.446231156,-0.334092048,0.331077938,0.241466498,-1.30261456,0.188396812,1.115384615,0.123904881,-0.139312146,-0.739568569,0.025316456,0.418300654,1.488584475,0,0.024390244,0.332777314,-0.706118355,0.510170553,0.168035251,0.586206897,0,0.158980391,0,0.666666667,0.666666667,0,0,-0.490909091,0.1,0,0,-0.348837209,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
757,-0.002203103,0.2528111,-1.487992405,-0.446231156,-0.334092048,0.331077938,0.241466498,-1.30261456,0.188396812,1.115384615,0.123904881,-0.139312146,-0.739568569,0.025316456,0.418300654,1.488584475,0,0.024390244,0.332777314,-0.706118355,0.510170553,0.168035251,0.586206897,0,0.158980391,0,0.666666667,0.666666667,0.033333333,0,-0.454545455,0.3,0,0,-0.23255814,0.0025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
758,-0.003181387,0.252722831,-1.510160062,1.149748744,1.298436797,-1.08884052,0.241466498,-0.166250924,0.188396812,-0.159340659,0.123904881,0.683016495,1.197809456,-0.860759494,0.045751634,-0.063926941,0,-0.463414634,0.332777314,-0.52557673,-1.387220954,0.168035251,-0.24137931,0,0.158980391,0,0.666666667,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
759,-0.003283378,0.252714289,-1.512469194,1.149748744,1.298436797,-1.08884052,0.241466498,-0.166250924,0.188396812,-0.159340659,0.123904881,0.683016495,1.197809456,-0.860759494,0.045751634,-0.063926941,0,-0.463414634,0.332777314,-0.52557673,-1.387220954,0.168035251,-0.24137931,0,0.158980391,0.333333333,1,0.666666667,0,0,-0.363636364,-0.2,0,0,-0.11627907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
760,-0.003496611,0.252694357,-1.517300606,1.149748744,1.298436797,-1.08884052,0.241466498,-0.166250924,0.188396812,-0.159340659,0.123904881,0.683016495,1.197809456,-0.860759494,0.045751634,-0.063926941,0,-0.463414634,0.332777314,-0.52557673,-1.387220954,0.168035251,-0.24137931,0,0.158980391,0.666666667,0.666666667,0.666666667,0.133333333,0,0.854545455,-0.2,0,0,1.441860465,0.0075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
