,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
1454,0.063247289,-0.450392515,1.19737097,0.188944724,-0.218924023,1.339509822,0.016434893,-1.234432742,0.348017621,-0.016483516,0.032540676,-0.183814637,-1.423598969,-0.835443038,0.37254902,0.242009132,3.855428571,2.56097561,0.019182652,-0.702106319,1.870900387,0.153284672,3.137931034,3.876112005,0.140401146,0.333333333,0.666666667,0.666666667,0.013333333,0,-0.454545455,0,0.333333333,0.01,-0.23255814,0.0025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1455,0.063232256,-0.450430955,1.190201016,0.188944724,-0.218924023,1.339509822,0.016434893,-1.234432742,0.348017621,-0.016483516,0.032540676,-0.183814637,-1.423598969,-0.835443038,0.37254902,0.242009132,3.855428571,2.56097561,0.019182652,-0.702106319,1.870900387,0.153284672,3.137931034,3.876112005,0.140401146,0,0.333333333,0.333333333,0.02,0,-0.436363636,-0.15,0,0,-0.209302326,0.005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1456,0.06141746,-0.453792316,0.523273856,-0.514572864,-0.357507571,0.881658564,0.056890013,0,0.039647577,-0.065934066,0.093867334,-0.28984666,-0.739568569,1.518987342,1.581699346,1.223744292,-1.364571429,0.12195122,0.005838198,-0.674022066,0.777229679,0.069343066,0.724137931,0.739748369,0.140401146,0.666666667,0,0.666666667,0.006666667,0,0.727272727,-0.15,0,0,1.279069767,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1457,0.061393176,-0.453826485,0.51610374,-0.514572864,-0.357507571,0.881658564,0.056890013,0,0.039647577,-0.065934066,0.093867334,-0.28984666,-0.739568569,1.518987342,1.581699346,1.223744292,-1.364571429,0.12195122,0.005838198,-0.674022066,0.777229679,0.069343066,0.724137931,0.739748369,0.140401146,0.333333333,0.333333333,0.666666667,0.02,0,-0.218181818,0.1,0,0,0,0.0125,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1458,0.280460878,-0.386328756,0.992239087,-0.578894472,-0.468367673,-0.665762775,0.036662453,0.151930894,0.039647577,0.203296703,0.012515645,0.551443912,0.653984045,0.088607595,-0.202614379,-0.511415525,-0.917142857,-0.195121951,0.005838198,0.874623872,-1.486414343,0.091240876,0.206896552,-0.873887995,0.140401146,0.666666667,0.666666667,0.333333333,0.033333333,0,-0.527272727,-0.1,0.666666667,0,-0.348837209,0.0025,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1459,0.280453246,-0.38631879,0.98607082,-0.578894472,-0.468367673,-0.665762775,0.036662453,0.151930894,0.039647577,0.203296703,0.012515645,0.551443912,0.653984045,0.088607595,-0.202614379,-0.511415525,-0.917142857,-0.195121951,0.005838198,0.874623872,-1.486414343,0.091240876,0.206896552,-0.873887995,0.140401146,0,0.666666667,0,0.066666667,0,0.727272727,6.8,0,0,-0.302325581,0.075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1460,0.280445614,-0.386308824,0.980046008,-0.578894472,-0.468367673,-0.665762775,0.036662453,0.151930894,0.039647577,0.203296703,0.012515645,0.551443912,0.653984045,0.088607595,-0.202614379,-0.511415525,-0.917142857,-0.195121951,0.005838198,0.874623872,-1.486414343,0.091240876,0.206896552,-0.873887995,0.140401146,0.333333333,0.666666667,0.666666667,0.033333333,0,-0.181818182,1.8,0.666666667,0,-0.302325581,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1461,0.280383864,-0.386237639,0.93521847,0.337688442,0.15875979,-0.949746467,0.051833123,1.106476349,0.303964758,-0.989010989,0.007509387,1.278962898,1.104339464,0.025316456,-0.620915033,-0.705936073,-1.331428571,-0.634146341,0.005838198,0.694082247,-0.875993483,0.04379562,-0.517241379,-1.487524358,0.140401146,0.333333333,0,0,0.066666667,0,0.181818182,0.3,0.333333333,0,0.581395349,0.075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1462,0.280379932,-0.386233368,0.932062606,0.337688442,0.15875979,-0.949746467,0.051833123,1.106476349,0.303964758,-0.989010989,0.007509387,1.278962898,1.104339464,0.025316456,-0.620915033,-0.705936073,-1.331428571,-0.634146341,0.005838198,0.694082247,-0.875993483,0.04379562,-0.517241379,-1.487524358,0.140401146,0.333333333,0.333333333,0,0.006666667,0,-0.4,0.6,0.333333333,0,-0.325581395,0.075,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1463,0.280374613,-0.386226249,0.927508124,0.337688442,0.15875979,-0.949746467,0.051833123,1.106476349,0.303964758,-0.989010989,0.007509387,1.278962898,1.104339464,0.025316456,-0.620915033,-0.705936073,-1.331428571,-0.634146341,0.005838198,0.694082247,-0.875993483,0.04379562,-0.517241379,-1.487524358,0.140401146,0,0,0,0.2,0,0.818181818,4.8,0.333333333,0,0.23255814,0.025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
